CASE,TOTAL,PASS,FAIL,SKIP
Hypervisor,278,242,17,19
Sha,28,28,0,0
Shcounterenw,21,21,0,0
Shgatpa,21,19,2,0
Shlcofideleg,14,10,4,0
Shtvala,50,45,3,2
Shvstvala,22,19,0,3
Shvsatpa,19,19,0,0
Sv39x4,50,50,0,0
Sv48x4,52,52,0,0
Sv57x4,52,52,0,0
Sv39x4_Sv39,149,148,1,0
Sv39x4_Sv48,152,151,1,0
Sv39x4_Sv57,155,154,1,0
Sv48x4_Sv39,152,151,1,0
Sv48x4_Sv48,156,155,1,0
Sv48x4_Sv57,160,159,1,0
Sv57x4_Sv39,155,154,1,0
Sv57x4_Sv48,160,159,1,0
Sv57x4_Sv57,165,164,1,0
Hypervisor_Smcntrpmf,7,6,0,1
Hypervisor_Smcsrind,11,10,1,0
Hypervisor_Smmpm,5,0,1,4
Hypervisor_Smnpm,6,0,0,6
Hypervisor_Smstateen,14,11,0,3
Hypervisor_Ssccptr,4,3,0,1
Hypervisor_Sscsrind,33,18,4,11
Hypervisor_Ssdbltrp,24,11,0,13
Hypervisor_Ssnpm,48,3,0,45
Hypervisor_Ssqosid,6,2,4,0
Hypervisor_Ssstateen,50,41,2,7
Hypervisor_Sstc,15,14,1,0
Hypervisor_Sstvala,8,8,0,0
Hypervisor_Svadu,7,7,0,0
Hypervisor_Svinval,15,13,2,0
Hypervisor_Svnapot,3,3,0,0
Hypervisor_Svpbmt,4,4,0,0
Hypervisor_Zicbom,40,37,1,2
Hypervisor_Zicbop,8,8,0,0
Hypervisor_Zicboz,15,14,0,1
Hypervisor_Zicfilp,44,37,6,1
Hypervisor_Zicfiss,75,65,9,1
Hypervisor_Zkr,18,18,0,0
Ss_CSR,75,64,1,10
Ss_Exceptions,52,37,0,15
Ss_Interrupts,38,36,0,2
Ssccfg,19,13,0,6
Ssccptr,45,42,0,3
Sscofpmf,42,36,0,6
Sscounterenw,20,20,0,0
Sscsrind,14,14,0,0
Ssctr,141,130,5,6
Ssdbltrp,33,14,2,17
Ssstateen,42,32,2,8
Sstc,31,31,0,0
Sstvala,25,19,0,6
Sstvecd,16,13,0,3
Ssu64xl,4,4,0,0
Sv39,50,50,0,0
Sv48,50,50,0,0
Sv57,49,49,0,0
Svbare,32,32,0,0
Svade,33,8,0,25
Svadu,30,30,0,0
Svnapot,53,53,0,0
Svinval,37,37,0,0
Svpbmt,49,46,0,3
Svvptc,15,13,0,2
Svrsw60t59b,23,21,0,2
Sm_CSR,223,177,5,41
Sm_Exceptions,100,86,2,12
Sm_Interrupts,91,76,0,15
Smcdeleg,26,26,0,0
Smcntrpmf,51,43,4,4
Smcsrind,31,30,0,1
Smctr,41,35,3,3
Smdbltrp,38,10,2,26
Smstateen,47,36,0,11
pmp,64,64,0,0
pmp_sv39,96,96,0,0
pmp_sv48,110,110,0,0
pmp_sv57,124,124,0,0
cfi.Zicfilp,13,13,0,0
cfi.Zicfilp,13,13,0,0
zpm.Smmpm,21,9,10,2
zpm.Smnpm,25,0,1,24
zpm.Ssnpm,24,0,1,23
cmo.base,17,17,0,0
cmo.Zicbom,26,25,1,0
cmo.Zicbop,8,8,0,0
cmo.Zicboz,12,12,0,0
